date,trip_count
2021-03-20,6864
2021-03-21,7675
2021-03-22,5066
2021-03-23,5496
2021-03-24,5411
2021-03-25,5495
2021-03-26,6343
2021-03-27,9488
2021-03-28,2709
2021-03-29,3998
2021-03-30,5544
2021-03-31,6497
2021-04-01,3352
2021-04-02,4433
2021-04-03,5851
2021-04-04,6089
2021-04-05,4570
2021-04-06,5641
2021-04-07,5902
2021-04-08,6378
2021-04-09,7718
2021-04-10,12158
2021-04-11,6286
2021-04-12,4577
2021-04-13,5841
2021-04-14,6435
2021-04-15,4919
2021-04-16,1167
2021-04-17,4275
2021-04-18,8067
2021-04-19,7432
2021-04-20,8782
2021-04-21,5321
2021-04-22,4612
2021-04-23,6543
2021-04-24,13539
2021-04-25,5996
2021-04-26,5849
2021-04-27,6928
2021-04-28,6696
2021-04-29,3443
2021-04-30,6445
2021-05-01,9889
2021-05-02,10374
2021-05-03,6995
2021-05-04,4366
2021-05-05,3900
2021-05-06,8480
2021-05-07,8990
2021-05-08,8259
2021-05-09,9428
2021-05-10,6496
2021-05-11,8430
2021-05-12,8457
2021-05-13,9237
2021-05-14,10689
2021-05-15,13592
2021-05-16,11061
2021-05-17,8833
2021-05-18,9700
2021-05-19,9853
2021-05-20,10075
2021-05-21,10817
2021-05-22,11860
2021-05-23,10583
2021-05-24,8884
2021-05-25,9237
2021-05-26,9517
2021-05-27,9529
2021-05-28,8730
2021-05-29,2211
2021-05-30,3043
2021-05-31,5095
2021-06-01,8678
2021-06-02,9201
2021-06-03,9281
2021-06-04,8643
2021-06-05,11704
2021-06-06,9953
2021-06-07,8465
2021-06-08,8440
2021-06-09,9527
2021-06-10,11442
2021-06-11,10984
2021-06-12,11697
2021-06-13,12741
2021-06-14,5808
2021-06-15,9004
2021-06-16,11156
2021-06-17,11325
2021-06-18,12208
2021-06-19,12169
2021-06-20,10850
2021-06-21,9871
2021-06-22,7228
2021-06-23,10552
2021-06-24,11855
2021-06-25,11033
2021-06-26,13852
2021-06-27,12041
2021-06-28,9211
2021-06-29,9406
2021-06-30,8757
2021-07-01,8556
2021-07-02,5183
2021-07-03,3264
2021-07-04,6512
2021-07-05,10589
2021-07-06,8403
2021-07-07,9419
2021-07-08,8685
2021-07-09,4788
2021-07-10,12649
2021-07-11,11743
2021-07-12,5872
2021-07-13,10023
2021-07-14,10620
2021-07-15,11755
2021-07-16,10805
2021-07-17,11108
2021-07-18,7126
2021-07-19,8803
2021-07-20,11277
2021-07-21,11368
2021-07-22,11937
2021-07-23,12321
2021-07-24,14913
2021-07-25,9225
2021-07-26,10105
2021-07-27,10957
2021-07-28,10797
2021-07-29,10617
2021-07-30,11776
2021-07-31,13754
2021-08-01,12339
2021-08-02,10798
2021-08-03,11749
2021-08-04,11161
2021-08-05,5554
2021-08-06,12034
2021-08-07,13353
2021-08-08,11921
2021-08-09,10207
2021-08-10,10181
2021-08-11,11827
2021-08-12,10605
2021-08-13,11075
2021-08-14,11959
2021-08-15,13270
2021-08-16,11609
2021-08-17,11597
2021-08-18,11708
2021-08-19,7889
2021-08-20,11313
2021-08-21,14027
2021-08-22,6310
2021-08-23,8571
2021-08-24,10747
2021-08-25,12233
2021-08-26,12101
2021-08-27,13358
2021-08-28,14458
2021-08-29,12214
2021-08-30,12877
2021-08-31,13465
2021-09-01,8735
2021-09-02,11322
2021-09-03,15234
2021-09-04,15935
2021-09-05,12260
2021-09-06,14805
2021-09-07,15187
2021-09-08,14963
2021-09-09,9266
2021-09-10,14301
2021-09-11,17621
2021-09-12,16391
2021-09-13,14077
2021-09-14,14906
2021-09-15,15022
2021-09-16,12748
2021-09-17,14944
2021-09-18,16951
2021-09-19,16294
2021-09-20,13874
2021-09-21,15018
2021-09-22,14834
2021-09-23,14989
2021-09-24,14480
2021-09-25,17884
2021-09-26,15815
2021-09-27,13597
2021-09-28,8627
2021-09-29,13544
2021-09-30,13679
2021-10-01,14814
2021-10-02,16505
2021-10-03,13613
2021-10-04,6172
2021-10-05,10963
2021-10-06,14561
2021-10-07,14245
2021-10-08,15792
2021-10-09,14485
2021-10-10,14148
2021-10-11,14601
2021-10-12,14119
2021-10-13,14596
2021-10-14,14777
2021-10-15,15894
2021-10-16,17465
2021-10-17,13790
2021-10-18,11911
2021-10-19,13075
2021-10-20,14035
2021-10-21,14523
2021-10-22,15298
2021-10-23,16223
